 f,programa,no_clase,salon,fecha_inicio,fecha_fin,dia,hora_inicio,hora_fin
Mercados financieros,Maestría Internacional en Finanzas,2815,SF_6-4,2023-02-06,2023-02-06,Lunes,20:00:00 ,22:00:00 
Mercados financieros,Maestría Internacional en Finanzas,2815,SF_6-4,2023-03-16,2023-03-30,Jueves,20:00:00 ,22:00:00 
Mercados financieros,Maestría Internacional en Finanzas,2815,SF_6-4,2023-04-20,2023-04-20,Jueves,20:00:00 ,22:00:00 
Mercados financieros,Maestría Internacional en Finanzas,2815,SF_6-4,2023-02-02,2023-02-02,Jueves,20:00:00 ,22:00:00 
Mercados financieros,Maestría Internacional en Finanzas,2815,SF_6-4,2023-03-06,2023-03-06,Lunes,20:00:00 ,22:00:00 
Mercados financieros,Maestría Internacional en Finanzas,2815,SF_6-4,2023-02-09,2023-02-16,Jueves,20:00:00 ,22:00:00 
Mercados financieros,Maestría Internacional en Finanzas,2815,SF_6-4,2023-04-13,2023-04-13,Jueves,20:00:00 ,22:00:00 
Nuevas alternativas de inversi,Maestría Internacional en Finanzas,1012,SF_6-4,2023-03-23,2023-03-23,Jueves,16:00:00 ,18:00:00 
Nuevas alternativas de inversi,Maestría Internacional en Finanzas,1012,SF_6-4,2023-02-06,2023-02-06,Lunes,16:00:00 ,18:00:00 
Nuevas alternativas de inversi,Maestría Internacional en Finanzas,1012,SF_6-4,2023-03-30,2023-03-30,Jueves,16:00:00 ,18:00:00 
Nuevas alternativas de inversi,Maestría Internacional en Finanzas,1012,SF_6-4,2023-02-16,2023-02-16,Jueves,16:00:00 ,18:00:00 
Nuevas alternativas de inversi,Maestría Internacional en Finanzas,1012,SF_6-4,2023-04-13,2023-04-13,Jueves,16:00:00 ,18:00:00 
Nuevas alternativas de inversi,Maestría Internacional en Finanzas,1012,SF_6-4,2023-03-02,2023-03-02,Jueves,16:00:00 ,18:00:00 
Nuevas alternativas de inversi,Maestría Internacional en Finanzas,1012,SF_6-4,2023-03-16,2023-03-16,Jueves,16:00:00 ,18:00:00 
Nuevas alternativas de inversi,Maestría Internacional en Finanzas,1012,SF_6-4,2023-04-20,2023-04-20,Jueves,16:00:00 ,18:00:00 
Nuevas alternativas de inversi,Maestría Internacional en Finanzas,1012,SF_6-4,2023-02-09,2023-02-09,Jueves,16:00:00 ,18:00:00 
Nuevas alternativas de inversi,Maestría Internacional en Finanzas,1012,SF_6-4,2023-03-06,2023-03-06,Lunes,16:00:00 ,18:00:00 
Oportunidades globales y entor,Maestría Internacional en Finanzas,2817,SF_6-4,2023-04-27,2023-04-27,Jueves,16:00:00 ,18:00:00 
Oportunidades globales y entor,Maestría Internacional en Finanzas,2817,SF_6-4,2023-03-09,2023-03-09,Jueves,16:00:00 ,18:00:00 
Oportunidades globales y entor,Maestría Internacional en Finanzas,2817,SF_6-4,2023-02-02,2023-02-02,Jueves,16:00:00 ,18:00:00 
Oportunidades globales y entor,Maestría Internacional en Finanzas,2817,SF_6-4,2023-05-11,2023-05-11,Jueves,16:00:00 ,18:00:00 
Oportunidades globales y entor,Maestría Internacional en Finanzas,2817,SF_6-4,2023-01-12,2023-01-12,Jueves,16:00:00 ,18:00:00 
Seminario de innovación financ,Maestría Internacional en Finanzas,1015,SF_6-4,2023-05-18,2023-05-18,Jueves,16:00:00 ,18:00:00 
Seminario de innovación financ,Maestría Internacional en Finanzas,1015,SF_6-4,2023-05-11,2023-05-11,Jueves,18:00:00 ,20:00:00 
Seminario de innovación financ,Maestría Internacional en Finanzas,1015,SF_6-4,2023-05-25,2023-05-25,Jueves,16:00:00 ,18:00:00 
Seminario de innovación financ,Maestría Internacional en Finanzas,1015,SF_6-4,2023-05-08,2023-05-08,Lunes,16:00:00 ,18:00:00 
Seminario de innovación financ,Maestría Internacional en Finanzas,1015,SF_6-4,2023-06-01,2023-06-01,Jueves,16:00:00 ,18:00:00 
Seminario de innovación financ,Maestría Internacional en Finanzas,1015,SF_6-4,2023-05-04,2023-05-04,Jueves,18:00:00 ,20:00:00 
Talento y su dinámica dentro,Maestría Internacional en Finanzas,1008,SF_6-4,2023-01-12,2023-01-12,Jueves,18:00:00 ,20:00:00 
Talento y su dinámica dentro,Maestría Internacional en Finanzas,1008,SF_6-4,2023-01-05,2023-01-05,Jueves,18:00:00 ,20:00:00 
Talento y su dinámica dentro,Maestría Internacional en Finanzas,1008,SF_6-4,2023-01-09,2023-01-09,Lunes,20:00:00 ,22:00:00 
Talento y su dinámica dentro,Maestría Internacional en Finanzas,1008,SF_6-4,2023-01-19,2023-01-19,Jueves,18:00:00 ,20:00:00 
Ética Empresarial y Resp. Soc.,Maestría en Administración de Proyectos,1220,NR 09,2023-01-20,2023-04-01,Sábado,8:00:00 ,11:00:00 
Ética Empresarial y Resp. Soc.,Maestría en Administración de Proyectos,1218,NR 03,2023-01-21,2023-04-01,Sábado,8:00:00 ,11:00:00 
Ética Empresarial y Resp. Soc.,Maestría en Administración de Proyectos,1219,R 43,2023-01-20,2023-04-01,Sábado,8:00:00 ,11:00:00 
