nombre_modulo,programa,no_clase,no_alumnos
Temas selectos de Innovación,Especialidad en Ingeniería y Gestión de Proyectos,1626,3
Temas selectos de Innovación,Especialidad en Logística Internacional,1627,3
Temas selectos de Innovación,Especialidad en Simuladores Gráficos,1628,3
Fundamentos de Ciencia de Dato,Maestría en Ciencia de Datos,1689,15
Fundamentos de Bases de Datos,Maestría en Ciencia de Datos,1774,15
Estadística,Maestría en Ciencia de Datos,1775,15
Aprendizaje de Máquina I,Maestría en Ciencia de Datos,1794,15
Visualización de Datos y Narra,Maestría en Ciencia de Datos,1795,20
Minería de Datos y Redes Socia,Maestría en Ciencia de Datos,1796,15
Gobierno y Protección de Datos,Maestría en Ciencia de Datos,1797,20
Proyecto de Aplicación de Cien,Maestría en Ciencia de Datos,1798,20
Grandes Datos,Maestría en Ciencia de Datos,1799,15
Ética de Ciencia de Datos,Maestría en Ciencia de Datos,1800,20
Proyecto de Aplicación de Cien,Maestría en Ciencia de Datos,1801,20
Principios de Aprendizaje Prof,Maestría en Ciencia de Datos,1802,20
Cómputo en la Nube,Maestría en Ciencia de Datos,1803,0
Proyecto de Aplicación de Cien,Maestría en Ciencia de Datos,1855,0
Proyecto de Aplicación de Cien,Maestría en Ciencia de Datos,1856,0
Gobierno y Protección de Datos,Maestría en Ciencia de Datos,1857,0
"Análisis de Factores Sociales,",Maestría en Ciencia de Datos,1858,0
Principios de Aprendizaje Prof,Maestría en Ciencia de Datos,1859,0
